International Legal System,Business,Spain,Migration,,Energy Security,,Institutional Governance Systems,,Fragile States,,Climate Change,,Middle East & North Africa,,North America,,Africa,,Banking & Capital Markets,,Renewable Energy,,Health,
Education,Government,United States of America,Emerging Technologies,"We are at the early stages of a technological revolution in education.  Distance learning, teacher training, school administration, etc. all stand to be substantially changed by emerging technologies.",Informed Societies,"Transparency seems to be correlated with learning outcomes.  When parents and communities understand their rights and have a window into school performance, they become demanding consumers.",Social Innovation,The next generation of leaders in promoting entrepreneurship need to be nurtured and encouraged.  We want to strengthen leadership among young people in civil society to ensure that education for young people is timely and relevant.,Innovation,See above.,Competitiveness,"With millions of students transitioning into the world of work each year, we need to look carefully at the intersection of skills devleopment and labor.  As countries become increasingly integrated into a globalized world, we need to ask whether schooling is contributing prepared students.",Africa,,Middle East & North Africa,,South-East Asia,,Consumer,,"Media, Entertainment & Information",,Telecom,
Innovation,Government,Belgium,Emerging Technologies,,Competitiveness,,Intellectual Property System,,Poverty & Economic Development,,Informed Societies,,Europe & Central Asia,,North America,,China,,Public & Institutional Investors,,Banking & Capital Markets,,Logistics & Supply Chain,
Climate Change,Business,France,Climate Change,,Ageing,,Population Growth,,,,,,China,,India,,South-East Asia,,"Aviation, Travel & Tourism",,Renewable Energy,,Health,
Urbanization,Other,Germany,Migration,"Urbanization is the result of rural-urban migration. Inter-country migration caused by political, economic and environmental refugees, evictions, ""ethnical"" cleansings"" etc. comes in addition.",Poverty & Economic Development,"Migrants in cities often end up in slums since the job market often can't absorb the amount of incoming migrants, and cities often don't have the capacity to provide adequate housing and infrastructure for the fast-growing population.",Institutional Governance Systems,An effective governance of large cities and and metropolitan areas is key to mastering urbanization.,Climate Change,"Climate change is the single largest threat to people crowded in cities and dependent on resource flows from outside (esp. water, food).",Water Security,"Water Security, Food Security and Energy Security are equally relevant to continued rapid urbanization - but you only left us five five choices in total! I would have name all three above if I could.",India,,South-East Asia,,Africa,,Health,,Renewable Energy,,Real Estate,
Ocean Governance,NGO,United States of America,Energy Security,Energy exploration and development of various forms is advancing deeper and deeper into the oceans. What are the risks and opportunities?,Trade,To eliminate subsidies that cause over-fishing.,International Legal System,"To reform ocean governance structures, especially on the high seas.",Food Security,"20-25% of the world's population relies on the oceans for a primary source of protein, increasingly in the form of aquaculture. What are current trends, future risks, and opportunities?",Climate Change,To generate more attention to the impact of climate change on the oceans and marine life and to ensure such is included in mitigation policy,China,China is a huge player in global aquaculture and fisheries. Substantial reform is needed.,South-East Asia,SE Asian countries are major players in global aquaculture and fisheries. Substantial reform is needed.,Latin America,LA has substantial fisheries resources and offshore energy opportunities.,Mining & Metals,,"Aviation, Travel & Tourism",,Renewable Energy,
Logistics & Supply Chain,Other,United Kingdom of Great Britain and Northern Ireland,Climate Change,Sustainability is a major issue in logistics and supply chain due to carbon footprint of transport,Humanitarian Assistance,Logistics plays a crucial role in the efficent distribution of aid to crisis hit areas,Trade,Trade and transport are interwoven given the major issue of globalisation affecting the world's industry.,,,,,China,China is the major drive of growth in the world's logistics industry,,,,,Renewable Energy,Important given that major transport companies are investing heavily in more carbon-efficient trucks and warehouses,,,,
Institutional Governance Systems,Academia,Singapore,Geopolitical Risk,Changing geopolitics of the world will force changes in global governance.,Future of Government,,International Monetary System,,Poverty & Economic Development,,Urbanization,,China,Shift of power to China.,India,Shift of power to India.,South-East Asia,,Banking & Capital Markets,,Public & Institutional Investors,,"Media, Entertainment & Information",
Systemic Financial Risk,Academia,Singapore,Fiscal Crises,can be a driver of systemic risks,Emerging Multinationals,Poor investment and financing based on poor information causes problem,Institutional Governance Systems,oversight and poor mechanism design cause problem,,,,,China,Will China experience a major economic set back?,Latin America,Will its economies have land-mines?,Middle East & North Africa,Any crisis?,Banking & Capital Markets,clearly related,Insurance & Asset Management,clearly related,Real Estate,another bubble from Asia?
Climate Change,Academia,United Kingdom of Great Britain and Northern Ireland,Water Security,,Systemic Financial Risk,,Food Security,,Ecosystems & Biodiversity,,Institutional Governance Systems,,China,,India,,Latin America,,Automotive,,Insurance & Asset Management,,Banking & Capital Markets,
Humanitarian Assistance,International Organization,Switzerland,Climate Change,"The trend we register is a rising number of people in poor countries being affected an increasing number of complex disasters such as floods, droughts, heat waves, wild fires, storms and landslides. The common position is that these disasters are related to climate change.",Urbanization,"Rapid urbanization in developing countries contributes to increasing vulnerabilities, not only in relation to natural disasters as seen in Haiti, but raises a number of related issues such as violence, access to basic services, etc  - all are factors that will increase the seriousness and impact any natural disaster happening large urban settings and slums.",Fragile States,A fragile state will be unlikely to invest in disaster preparedness measures to mitigate impact of disasters. It will not be ready to provide effective lead and coordination of international humanitarian assistance which demands fast action in support of affected populations. A fragile state will also not be in a position to take over when the international aid community pulls out and will thus not be able to optimise and bridge the transition between relief and early recovery into long term development and related disaster preparedness building capacities and resilience from communities to national government institutions.,Population Growth,The increased need for humanitarian assistance relates to growing vulnerability of large parts of the world’s population due to the effects of factors such as population growth.,,,Europe & Central Asia,,South-East Asia,,Latin America,,Health,,Logistics & Supply Chain,,,
"Media, Entertainment & Information",Business,India,Food Security,,Conflict Prevention,,Emerging Multinationals,,Ecosystems & Biodiversity,,Education,,Japan,,India,,Latin America,,"Aviation, Travel & Tourism",,Logistics & Supply Chain,,Public & Institutional Investors,
Mining & Metals,NGO,United Kingdom of Great Britain and Northern Ireland,Anti-Corruption,systemic corruption in the mining industry; mining and metals revenue = key opportunity to lift countries out of poverty but anti-corruption work such as EITI has to be devloped and properly implemented,Conflict Prevention,Ensuring mineral extraction does not contribute to conflict and also ensuring how mineral extraction can help build post conflict exonomies and fragile states; also issues around increasing competition for strategic minerals leading to increasing geo-political tensions,Geopolitical Risk,state failure and conflict driven by corrupt mineral resource competition and mismanagement of mineral revenues,Fragile States,building and ensuring open and sustainable management of mineral revenues in order to increase stability and development of fragile states,,,Africa,major source of minerals plus governance challenges,China,major resource consumer; Chinese companies playing increasingly influential role in mineral sectors of developing countries,Europe & Central Asia,"major mineral consumer with major influence via aid, trade and diplomatic influence",Public & Institutional Investors,they have a major long term interest in building healthy and transparent minerals sector and great influence in helping countries to achieve this,,,,
Chronic Diseases & Well-being,Business,United Kingdom of Great Britain and Northern Ireland,Social Innovation,Traditional medical model cannot cope with the Chronic Disease epidemic and alternative ways of looking at lifestyle and health management are required.,Competitiveness,Chronic disease will stifle growth in emerging economies unless urgent action is taken - health & social care costs will absorb an unsustainable proportion of GDP.,Poverty & Economic Development,Chronic disease will prejudice economic development in emerging markest and will condemn future generations ot poverty unless action is taken now.,Ageing,Chronic disease goes hand in hand with an ageing society.  If chronic disease is managed well ageing brings much lower human and economic costs .,,,Middle East & North Africa,,India,,China,,Consumer,"Limiting chronic disease requires behavioural change by individuals.  That presents the opportunity to create a new market that cuts across silos of food, health, leisure, media, technology and communications.",Public & Institutional Investors,"Social investment with a return (as starting to apply to offenders, etc) could present an opportunity to leverage a new way of tackling chronic disease without burdening a public sector under severe pressure.",,
Trade,NGO,South Africa,Fiscal Crises,"Retrenchment from fiscal stimulus will heighten global imbalances and promote protectionist pressures, thus placing pressure on the trading system.",Climate Change,Potential recourse to border tax adjustments in developed countries raises the possibility of environment-driven trade wars; this interacts negatively with fiscal retrenchment.,International Monetary System,The evolution of currency regimes is closely related to global imbalances (see above comment on fiscal crises).,Poverty & Economic Development,The trading system has to deliver poverty and development benefits or it will be increasingly challenged by poor and developing countries.,Emerging Multinationals,"These companies will increasingly pressure their governments to engage proactively on the multilateral trade agenda, opening prospects for plurilateral approaches in the WTO to extend the trade agenda into new regulatory areas.",China,US-China bilateral relations are critical to the future of the trading system.,Europe & Central Asia,Europe remains a critical trading bloc.,India,India is a rising power with huge potential implications for the multilateral trading system.,Banking & Capital Markets,,Automotive,,Renewable Energy,
Values,NGO,United States of America,Next Generation,"How we prepare via education, civil society discipline, health care for the next generations will impact the value driven decisions of the next generation",Humanitarian Assistance,The engagement with people needing assistance brings a direct correlation to the value options exercised by those with resources,,,,,,,Africa,The Faith element of Africa integrated with society decisions and norms critical for value driven decisions particularly in the are of good governance and elimination of corruptio,China,"China being the second largest economy has the possibility of extreme impact on values of human rights, equal oportunity for all, fair trade",Middle East & North Africa,A just and lasting peqace with respect of human rights for all essential part of a values driven disussion,Banking & Capital Markets,Integrity,Health,Appropriate health care for all global citizens,Mining & Metals,Contracts for resources need to respect the environment and benefit the children towards a lasting and sustainable future
Ageing,Academia,Australia,Employment & Social Protection,"productive ageing of societies experiencing demographic change, older workers",Chronic Diseases & Well-being,"relationship between work, pensions and health, consumption of health services by older patients, innovation in delivery and marketting",Human Rights,Social ageism and discrimination against older people,Next Generation,"intergenerational relationships, organisational structures, age-diversity  in the workplace",Social Innovation,"new service systems, attitiude change, reaching new markets",Europe & Central Asia,"pensions, services and markets for an ageing population. new roles for older workers",China,"demographic change, care for older adults, intergenerational relationships, new services",India,"demographic change, care for older adults, intergenerational relationships, new services",Health,"preventative health and ageing, chronic care, age friendly environments",Real Estate,age friendly environments,Consumer,"voice of older consumers, pensions, government poilicies, age-friendly products"
Emerging Multinationals,Academia,Singapore,Innovation,Multinationals from emerging markets have made a significant contribution to the way we think about innovation. They will also be challenged in the near future to innovate more.,Institutional Governance Systems,,Skills & Talent Mobility,,Intellectual Property System,,Competitiveness,,China,,India,,South-East Asia,,Telecom,,Mining & Metals,,Banking & Capital Markets,
Water Security,Academia,United States of America,Food Security,food production is the main consumer of water,Energy Security,water access requires water and water is needed in most energy production plant,Trade,virtual water is tradable even if water may not,Climate Change,climate change adaptation to water risk is key to the future water security,Conflict Prevention,transboundary issues are becoming more critical,Middle East & North Africa,water shortage is most severs in the MENA,Africa,water is critical to food security in Africa,China,critical for the quality of water,Consumer,food and water industry in particular,Health,water availability and health are very tightly linked,Renewable Energy,biofuels in particuar is linked to water security
Food Security,Academia,People's Republic of China,Climate Change,extreme weather events such as floods and droughts will occur more often.  This will reduce global food production by 20-30% if no other actions are not taken.,Population Growth,"By 2050, more than 70% more food has to be produced to feed increased population.",Institutional Governance Systems,The internaitonal govenance system has not worked to prevent global food crisis.  The current system needs reformed.,Poverty & Economic Development,food security is closely linked with poverty and economic development as income will provide acess to food for many hungry people.,Emerging Technologies,innovaitons and technology will provide potential solutions to global food security.,Africa,Africa has the highest proportion of food insucure population.,India,India and other south Asia countries have the largest number of hungry people.,Middle East & North Africa,the region is volunerable to global food supply and international food prices,Public & Institutional Investors,the private can play a crucial role in global food security if there is a good policy environment,Banking & Capital Markets,lack of capital and investment has been one of the major reasons why many people are poor and they can not engage in producitve activities,Telecom,access to information is critical for poor to engage in economic activities
Organized Crime,Academia,United States of America,Illicit Trade,There are many forms of illicit trade that carried out by organized crime.,Anti-Corruption,Corruption is a key facilitator of organized crime,Fragile States,Fragile states are often hosts and transit zones for organized crime,Terrorism,Terrorists are increasingly using organized crime to fund and facilitate their activities,Migration,Large numbers of individuals seeking to migrate are moved by organized crime.,Africa,Africa is increasingly becoming an important transit zone for drugs and other illicit goods.,Latin America,Organized crime is a key determinant in many countries in Latin America.,South-East Asia,There is much organized crime in SE asia particularly in human trafficking.,"Aviation, Travel & Tourism",Organized crime use transport extensively and also are involved in laundering money into the tourism sector.,Real Estate,This is increasingly being used to launder money.,"Media, Entertainment & Information",There is much counterfeiting by organized crime  that is affecting media and information systems.
Organized Crime,Other,United States of America,Illicit Trade,,Anti-Corruption,,International Legal System,,Institutional Governance Systems,,Poverty & Economic Development,,Latin America,,China,,Europe & Central Asia,,Banking & Capital Markets,,"Media, Entertainment & Information",,Real Estate,
Logistics & Supply Chain,Academia,Singapore,Trade,"Logistics affects and is affected by trade flows and investments in trading ventures. Historically, regional trade and logistics management are interlocked, one cannot survive nor prosper without the active support of the other.",Competitiveness,Studies have shown that countries with a higher competitiveness index have a greater propensity for faster logistics response and shorter clearance at the and across the border logistics.,Humanitarian Assistance,"With the increased frequency of occurrence of natural disasters and the intensity of these disasters, there is a growing awareness of humanitarian logistics especially on the execution platform. Developing countries in Asia such as China, Pakistan, Indonesia have all experience the effect of well executed humanitarian logistics.",Role of Business,"Logistics has a few key pillars to support, one of which is commercial business. The role of business in logistics and supply chain management cannot be understated in a globalised context. Business must appreciate the growing complexities involved in the movement of goods and services across borders. These involve materials, informational and financial flows, each of which can have a separate impact on the growth of business and services such as contract labour outsourcing, financial services, property development, etc.",Climate Change,"Sustainability in logistics is a growing concern and the awareness of the impact transport, packaging, and other logistics activities can influence our climate has led many large logistics players to work in tandem with their industry partners toward a carbon neutral platform for the end to end supply chain, which includes reverse logistics.",China,China is a logistician's nightmare and sweet spot as it is the world's factory and it is also the world's largest domestic market. Moving goods and people from farm or factory to table or house in urban cities is both an art and a science for logistics companies as there are many operational and strategic issues to contend with.,India,"Some studies have predicted that India's growth rate will overtake China's by the next decade. Already, India has a growing increasingly highly educated middle class which has a huge appetite for consumerism. This is exciting for regional and global logistics. The foreign 3PLs are already eyeing and make inroads in terms of infrastructure investment.",Latin America,"If we believe that the key trading blocs of smaller countries can be economically integrated such as the likes of the ASEAN Economic Community, then Latin America has the potential to shine as a rising economic superhouse, whose growth and logistics needs will follow a similar pattern to China.",Renewable Energy,The challenge today in many a board is how to do a good business in logistics and yet be environmentally friendly. Renewable energy has the potential to bring about new generations of transport assets that can be more fuel efficient and yet have a smaller carbon footprint.,Automotive,This is an area which has a strong relationship with the asset intensive logistics players who rely on physical transport to execute their business. Traditional transport carriers are always looking for ways to reduce their cost and increase margins.,,
Geopolitical Risk,Business,United States of America,Urbanization,"Urbanization is a long term mega-trend.  Large city/states now representing larger portion of power base, not nations",Energy Security,Energy security is a prime defense driver.,Conflict Prevention,"Obviously, conflict is a major source of geopolitical risk.",Terrorism,,,,China,Represent larget dynamic change,Europe & Central Asia,,,,Banking & Capital Markets,,,,,
Telecom,Business,United Kingdom of Great Britain and Northern Ireland,Informed Societies,Role of Communication in Information,Emerging Technologies,Link between new Technologies and Telecom,Competitiveness,Communication technology and telecom impacts country competitiveness,Intellectual Property System,Internet and IP protection are related topics,Internet Security,Telecom and Internet linkages,Europe & Central Asia,Large number of Telcos are based in Europe and Europe one of highest Internet and mobile penetration,North America,Innovation in the sector recently coming form USA,China,Enormous growth potential in Asia,"Media, Entertainment & Information",Digitalisation of media,Health,High potential new applications in Health,Public & Institutional Investors,Role of investors in development of the next investment wave in the industry
Catastrophic Risks,Academia,United Kingdom of Great Britain and Northern Ireland,Emerging Technologies,,Future of Government,,Geopolitical Risk,,Chronic Diseases & Well-being,,Informed Societies,,,,,,,,Banking & Capital Markets,,,,,
Innovation,Business,United States of America,Education,,Competitiveness,,Design,,Emerging Technologies,,Informed Societies,,North America,,Africa,,India,,Health,,Renewable Energy,,"Media, Entertainment & Information",
Middle East & North Africa,Government,United Arab Emirates,Education,,Women’s Empowerment,,Institutional Governance Systems,,Informed Societies,,Next Generation,,North America,,China,,South-East Asia,,"Media, Entertainment & Information",,Public & Institutional Investors,,Consumer,
China,Academia,People's Republic of China,Fiscal Crises,related with my research emphsis closely,Education,I am interested in this area,Anti-Corruption,one of my reseach topics,,,,,China,I am a Chines researcher,,,,,Banking & Capital Markets,important,Real Estate,important,Renewable Energy,important
Ageing,Academia,United States of America,Chronic Diseases & Well-being,"In some ways, ageing is equivalent to chronic disease. If, as people aged, they remained physically fit and enjoyed high levels of well-being, concerns about aging would largely disappear.",Skills & Talent Mobility,Using the expertise of older adults is critical for successful population ageing.,Poverty & Economic Development,The speed of population ageing affects economic development. In poor countries the issues are quite different than wealthy ones.,Education,"Especially in young countries, education is the key to the future ageing of countries.",Emerging Technologies,Technologies that compensate for frailties can dramatically affect ageing.,Africa,,Middle East & North Africa,,India,,Health,,Telecom,,Insurance & Asset Management,
Values,Business,Japan,Education,"Values often are something that people acquire at an early stage, and therefore, education plays an important role in both setting the agenda of what values should be tought and the content thereof.",Anti-Corruption,"Laws prohibiting anti-corruption (especially anti-bribery) are a fast developing area, with the implementation of the UK Anti-Bribery law.  In order to stay competitive for companies and governments alike, there has to be a shared value that that should not be achieved by anti-corrupt bahavior.",International Legal System,"Related to 2 above, much of the legal development is tied to what value a specific society (sometimes transcending geographical bounds) wishes to drive forward by implementing new laws to address such value.",Role of Business,"Corporations play a very big role in ensuring that certain values are upheld and followed through.  Anti-corruption, social responsibility, global citizenship, these are all values that the corporations are best equipped to lead the discussions on.",Women’s Empowerment,"Despite the MDG on the equality of women, very little progress has been made in certain parts of the world on women's issues and women's value to the development of societies need to be recognized.",Africa,"When it comes to values, it seems that the agenda is very much set by North America and Europe and other regions' views should be included.  Of such regions, the voices of Africa seem least represented.",China,"As the Number 2 GDP nation, China should more actively engage in dialogue on global values.",Japan,"As one of the most important democratic nations in Asia, Japan has a leadership role to play in the discussion of values.","Media, Entertainment & Information",Much of the perception of what values are important in the world is shaped by the media and therefore what the media broadcasts is very important.,Banking & Capital Markets,,Renewable Energy,
Social Innovation,NGO,United States of America,Conflict Prevention,Philanthropy and creative NGO's and individuals have the capacity to engage in conflict prone areas to help them access resources that reduce conflict probability and to bring together leaders and people in a safe space.,Humanitarian Assistance,Social leaders and philanthropy can act quickly in emergencies and bring resources.,Human Rights,Non government agroups can call out human rights offienses and hold others accountible in the public space,Next Generation,"Social innovators supported by philanthropy can directly influence young leaders, ensure that they have proper training and mentoring",Women’s Empowerment,"Women are social innovators, often supported by philanthropy, creating new instititions, and taking primary responsibity for children and neighbors",Africa,need is the greatest,Latin America,,South-East Asia,,Public & Institutional Investors,Their resources are needed to bring the ideas of social entrepreneurs and the successful programs developed by private philanthropy to scale.,Private Fund Managers,See above.  They are often willing to take greater risks than governments,Banking & Capital Markets,They can help promote new ideas and investments in proven solutions to big problems through loans and investments
Ageing,Academia,Brazil,Chronic Diseases & Well-being,AN AGENDA ON AGEIN IS AN AGENDA ON NON-COMMUNICABLE DISEASE ( AND MORE!! ),Human Rights,The only vulnerable population sub-group which does not have a specific Human Rights Convention is the fastest growing worldwide!,Innovation,New Techonologies (including drugs and gadgets ) can minimize the consequences of ageing at indiviudal and community levels,Education,"On the whold countries are preparing professionals for the 20th century - for instance, doctors that know everything about children and pregnant woemn and next to nothing about ageing. Yet, they will increasingly deal with older patients regardless of the specialty they embrace. Same applies to virtually all professions...",Migration,"Migration, urbanization and ageing are the three main demographic drivers of the 21st century and the multiple interfaces should be explored",China,There will be older people in China within a few years than the entire population of the USA today,Latin America,the fastest ageing region in the world,Europe & Central Asia,the oldest region in the world,Health,,"Media, Entertainment & Information",,Insurance & Asset Management,
International Legal System,Academia,Switzerland,Institutional Governance Systems,,Future of Government,,Human Rights,,Values,,International Monetary System,,,No priority for any regional agenda,,,,,,No priority for any Industry agenda Council,,,,
Emerging Technologies,Business,United Kingdom of Great Britain and Northern Ireland,Food Security,,Water Security,,Climate Change,,,,,,North America,,Latin America,,,,Renewable Energy,,,,,
Illicit Trade,NGO,United States of America,Geopolitical Risk,,Emerging Technologies,,Anti-Corruption,,International Monetary System,,International Legal System,,China,,South-East Asia,,North America,,Banking & Capital Markets,,"Media, Entertainment & Information",,Logistics & Supply Chain,
Benchmarking Progress,Academia,France,Poverty & Economic Development,,Social Innovation,,Future of Government,,Institutional Governance Systems,,Competitiveness,,Africa,,India,,Latin America,,"Media, Entertainment & Information",,Renewable Energy,,Health,
"Media, Entertainment & Information",Business,India,Education,,Values,,Informed Societies,,Innovation,,Fiscal Crises,,India,,North America,,Europe & Central Asia,,"Media, Entertainment & Information",,Consumer,,Banking & Capital Markets,
Conflict Prevention,Other,Egypt,Humanitarian Assistance,,Education,,Geopolitical Risk,,Weapons of Mass Destruction,,Water Security,,Middle East & North Africa,,North America,,Europe & Central Asia,,Renewable Energy,,Health,,Banking & Capital Markets,
Social Innovation,Business,Egypt,Poverty & Economic Development,,Climate Change,,Education,,Competitiveness,,Next Generation,,Middle East & North Africa,,Europe & Central Asia,,Africa,,Consumer,,Public & Institutional Investors,,Renewable Energy,
Illicit Trade,International Organization,Sri Lanka,Organized Crime,,Fragile States,,Trade,,Anti-Corruption,,,,Africa,,South-East Asia,,China,,Logistics & Supply Chain,,Banking & Capital Markets,,Health,
Institutional Governance Systems,Academia,Singapore,Climate Change,,Ocean Governance,,Geopolitical Risk,,Energy Security,,International Monetary System,,China,,India,,North America,,Public & Institutional Investors,,Renewable Energy,,Health,
Design,Academia,United States of America,Ageing,Opportunities for new product and experience designs to make assisted living more humane and responsive.,Emerging Technologies,Technologies need to be situated for human needs -- something that designers excel at realizing. Think how the iPod was just another MP3 player -- but one that everyone *wanted to use*.,Social Innovation,"Design attracts talent that wishes to ""do the right thing"" with a concrete skill base to innovate in the social sector.",Competitiveness,"With access to all raw materials and technologies the same, aside from price, design will be the key distinguishing factor.",Future of Government,"Design can help give sense to some of the complex structures, processes, and politics that work against making internal communication in governments more transparent.",China,"Without careful thought to design, China will submerge itself in too many unneeded products and experience designs.",Africa,Africa has important DNA in terms of Art and Design -- think of Picasso and how he appropriated the visual language of Africa.,North America,N. America still needs to consider its approach to design -- it remains the leader in design-thinking for the 21st century and can help another region become the leader in the 22nd century.,Automotive,Automobile industry needs to connect with urban designers and architects.,Health,Health industry needs to leverage the humanity-focused principles of artists and designers.,Renewable Energy,Designers know how to do more with less -- key to considering what lessened energy requirements could impact future product designs.
Illicit Trade,NGO,United States of America,Poverty & Economic Development,Global Financial Integrity tracks illicit financial flows and posits that the annual loss of hundreds of billions of dollars undermines economic development and poverty alleviation in the world's poorest countries,,,,,,,,,Africa,Much of GFI's work is directly related to Africa,India,GFI will release a new report on illicit financial flows coming from India later this year,,,Mining & Metals,GFI advocates for greater transparency in the extractive industries,Banking & Capital Markets,GFI advocates for greater transparency in global finance via more rigorous reporting by banks and financial institutions,,
Weapons of Mass Destruction,NGO,United States of America,Role of Business,"Weapons of mass destruction cannot be made without dual-use equipment and materials. Ways must be found to work more effectively with business making dual-use products to allow companies to thrive with sales for legitimate, peaceful purposes while more effectively impeding actors with malevolent intent from acquiring these goods to further their proliferation aims.",Conflict Prevention,Conflict prevention is critical to reducing the proliferation of weapons of mass destruction.  States in particular would be less inclined to pursue such capabilities absent perceived threats from potential opponents/rival countries.,Terrorism,"In addition to mass casualty attacks, one of the more disturbing trends in terrorism in the last two decades is the increase in plots, acquisition attempts and successful acquisition of relevant materials, development of unconventional weapons capabilities, and use of unconventional weapons.  All of these indicators are on the rise, and concepts and tools must be sharpened to address this growing problem.",Emerging Technologies,"Unconventional weapons capabilities that used to be within the reach only of nations with significant scientific and financial resources are now increasingly within the reach of poorer states, terrorist groups, and even lone-wolf actors, largely because emerging technologies are ""de-skilling"" key steps in weapons research, development, testing, production, and dispersal, not to mention making these activities much less labor intensive and cheaper.  Developers of emerging technologies need to be mindful of the dual-use potential of their products and work with nonproliferation specialists to find ways for the responsible sales or sharing of technologies that would abet the acquisition of weapons of mass destruction.",Catastrophic Risks,"Should nuclear or biological weapons be used, the consequences could be global.  Communicable disease could spread worldwide very quickly, and the scope of conflct between two warring parties or alliances could spread much more broadly, engulfing the entire world.",Middle East & North Africa,"Several countries in the Middle East, including Israel, Iran, and Syria are believed to be harboring weapons of mass destruction capabilities, aggravating regional tensions and increasing the scale of harm should war erupt in the region.",India,"India and Pakistan have long-running disputes and are now both armed with nuclear weapons, increasing the risks should war break out between these two nations.",Korea,"North Korea possesses chemical, biological, and nuclear arms, increasing the scope of potential harm of a conflict on the peninsula.",Logistics & Supply Chain,Discussing how to improve the effectiveness of export controls and/or monitoring of the flow of dual-use goods would be helpful.,Banking & Capital Markets,"Discussing how to increase the effectiveness of tracking and freezing financial transactions of state and subnational actors trying to acquire weapons of mass destruction, not to mention the applying similar tools to the middlemen who aid proliferations, would be helpful.",Health,"An unconventional weapons attack could have consequences that could overwhelm the medical and health care capacity of many states, so discussion of consequences management would be helpful."
Logistics & Supply Chain,Business,United States of America,Trade,Supply chains are the backbone of trade.  Strategic planning must be integrated and collaborative.,Competitiveness,A significant inhibitor to true supply chain collaboration is the propiritary positioning of companys within and across the industry. Solving for these paradigms will open significant doors to value creation,Innovation,"In a field where innovation comes slowly as low investment in supply chains overall constrains  advancement, a different approach to innovation is required",Climate Change,Supply Chain's impact/contribution to improving our climate change efforts are substancial.  The need to find a path combining both climate and bottom line benefits is critical to our success.,Poverty & Economic Development,,China,China's growth will be enabled by efficient and effective supply chain capabilities,Europe & Central Asia,"Europe is a leader in supply chain optimisation, Central Asia requires a significant supply chain strategy",North America,"Regulatory, economic and social changes are a significatn risk for this regions supply chain",Consumer,,Insurance & Asset Management,,Public & Institutional Investors,
Insurance & Asset Management,Business,Germany,Systemic Financial Risk,"Financial Services was identified as source of systemic risk, howerver, insurance is very different to banking and requires a different approach",Ageing,Biggest challenge for societies and major task for insurance and asset management,Catastrophic Risks,Insurers play dominant role in identifying and mitigating cat risks,International Monetary System,Insurers and asset managers - being the biggest global investment community - play a fundamental and crucial role in the IMS,Geopolitical Risk,"Insurance is about all types of risks, geopolitical being one hard to control but with big impact also on insurance",Europe & Central Asia,,North America,,Japan,,Public & Institutional Investors,,Health,,Private Fund Managers,
International Monetary System,Other,United States of America,Systemic Financial Risk,"Would the IMS be threatened if these risks were to materialize, or could it compenate for them?",Poverty & Economic Development,"Could the IMS help these countries, and what do they need to do to realize these gains?",,,,,,,,,,,,,,,,,,
Logistics & Supply Chain,Business,Germany,Trade,Logistics and Supply Chain are the vehices enabling Trade. It seems important for the Logistics & Suppley Chain council to interact on the potential evolution of trade patterns and the role that Logistics can or must play.,Urbanization,The challenges of urbanization on Logistic and Supply Chain are massive. Interaction between both councils can help to discuss the ways to find appropriate solutions to aleviate the impact.,Climate Change,"The Logistics industry is an important contributor to carbon emmission, impacting climate change. Interaction with the Climate Change council can help address ways to reduce the emissions in Supply Chains.",Terrorism,,Benchmarking Progress,,China,,Europe & Central Asia,,North America,,"Aviation, Travel & Tourism",,Automotive,,Consumer,
Ecosystems & Biodiversity,International Organization,Indonesia,Poverty & Economic Development,Efforts to alleviate poverty and sustain economic development depend a great deal and have significant impacts on ecosystem and biodiversity.,Role of Business,,Climate Change,,Water Security,,Ocean Governance,,North America,,China,,Japan,,Renewable Energy,,"Aviation, Travel & Tourism",,Mining & Metals,
China,Government,People's Republic of China,Competitiveness,,Energy Security,,International Monetary System,,Climate Change,,Innovation,,South-East Asia,,Africa,,North America,,Banking & Capital Markets,,Renewable Energy,,Real Estate,
Informed Societies,Business,United Kingdom of Great Britain and Northern Ireland,Future of Government,"Currently, many governments, especially in the west invest significant public resources in public service broadcasting, internet and communications.  How can this shrink as new forms of information grow and how does goverment intervention stifle innovation and development?",Emerging Technologies,"What new forms of communications, especially platforms are emerging and how could these relate to the distribution of information?",Trade,There are many barriers to investment in the media sector around the world.  Especially FDI caps and cross-ownership rules.  How do these hinder the development of freer information economy?,,,,,,,,,,,"Media, Entertainment & Information",The link lies in both journalism and non-factual entertainment,,,,
Innovation,Academia,United States of America,Emerging Technologies,"Innovation most often derives from emerging technologies. And, indeed, the mission of Technology Review, my company is to cover emerging technologies.",Social Innovation,,Competitiveness,,Design,Design is a major driver of modern innovation.,Emerging Multinationals,,North America,"Most innovation still derives from North  American companies and universities. Indeed, innovation remains the last true competitive advantage of the US.",India,"India, particularly for ""bottom of the pyramid"" solutions, will be a major source of future innovation.",China,"China, particularly in manufacturing and supply chains, will be a dominant source of innovation in the 21st century.","Media, Entertainment & Information",,Renewable Energy,,Telecom,
Innovation,Academia,United States of America,Values,,Fiscal Crises,,Intellectual Property System,,Role of Business,,Social Innovation,,Korea,,Japan,,China,,Consumer,,Banking & Capital Markets,,Public & Institutional Investors,
Anti-Corruption,Business,Belgium,Illicit Trade,,Human Rights,,Poverty & Economic Development,,Fragile States,,Geopolitical Risk,,Africa,,China,,India,,Mining & Metals,,Public & Institutional Investors,,"Aviation, Travel & Tourism",
